id	dis_num	density	kakaoF	total_chat	group_chat	one_to_one	A5-1	A5-3	B1	C1-9	C1-10	D2	D3	fb_use	overlap	fig5
CUBEE0103	3	0.166666667	597 	30	11	19	4	3	3	3	2	1	3	1	0.333333333	0
CUBEE0104	2	1	475 	34	16	18	2	5	5	4	4	1	3	1	1	0.5
CUBEE0105	3	0	578 	60	37	23	3	2	3	1	1	1	3	1	0.666666667	0.666666667
CUBEE0107	5	0.6	745 	39	19	20	3	5	2	3	6	1	3	1	1	0.8
CUBEE0109	5	0.4	335 	17	6	11	4	5	2	1	1	1	3	2	0	0.4
CUBEE0110	5	0.2	660 	68	27	41	3	2	8	2	2	2	3	1	1	0.2
CUBEE0113	5	0.1	600 	22	7	15	4	5	7	5	5	1	2	2	0	0.8
CUBEE0114	3	0.333333333	220 	13	3	10	3	3	2	2	2	1	3	2	0	0
CUBEE0115	5	0.3	337 	26	18	8	2	4	3	2	2	2	3	2	0	0.2
CUBEE0116	4	0.333333333	192 	11	2	9	4	5	4	3	6	1	1	2	0.5	0.5
CUBEE0117	4	0.166666667	652 	28	10	18	4	4	7	6	6	1	3	2	0	0.5
CUBEE0118	5	0.6	268 	15	4	11	3	3	3	3	3	1	3	1	1	0.8
CUBEE0119	5	0.2	345 	15	10	5	4	5	1	3	3	2	2	1	0.6	0.6
CUBEE0121	3	0.333333333	515 	48	30	18	3	4	4	3	6	2	3	1	0.666666667	0.333333333
CUBEE0122	4	0.166666667	445 	37	11	26	3	4	3	4	2	2	3	1	0.5	0.25
CUBEE0123	3	0.333333333	173 	17	10	7	4	5	7	3	2	1	3	1	0.333333333	0.666666667
CUBEE0124	5	0.2	496 	90	30	60	3	3	3	4	4	2	1	1	1	0.4
CUBEE0126	2	0	834 	37	13	24	5	4	10	3	3	2	3	1	0.5	0
CUBEE0128	4	0.333333333	552 	21	7	14	4	3	4	3	3	2	3	1	0.25	0.25
CUBEE0129	3	0.666666667	280 	25	8	17	4	3	3	2	3	2	3	2	0	1
CUBEE0131	4	0.5	579 	35	10	25	2	3	3	3	3	2	3	1	0.75	0.5
CUBEE0132	5	0.6	323 	48	29	19	3	2	3	2	2	2	3	1	0.8	0.8
CUBEE0133	5	0	361 	23	6	17	3	2	6	3	3	1	3	2	1	1
CUBEE0134	3	1	1027 	21	7	14	2	3	6	3	3	2	3	2	0.333333333	0
CUBEE0135	5	0.3	733 	31	8	23	4	3	3	5	6	2	3	1	0.6	0.2
CUBEE0136	5	0.7	614 	32	13	19	3	3	7	3	1	2	2	1	1	1
